dataset,seed,item,method,n_cells,n_tissues,n_eff_foldsym,wt_tissue,wt_tissue_recon,wt_foldsym,wt_foldsym_stripped
depmap,1,ACO2,baseline,1076,29,1060,-0.2604456685583013,-0.2604456685583013,,
depmap,1,ACO2,marginal,1076,29,1060,0.3294230118701244,0.3294230118701244,0.35715374594296534,0.35715374594296534
depmap,1,ACO2,residualized,1076,29,1060,0.37154154530658207,0.31109845044328654,0.38013362655375377,0.38013362655375377
depmap,1,ACO2,irm,1076,29,1060,0.14567606166001862,0.14567606166001862,0.17676632558625363,0.17676632558625363
depmap,1,ACO2,dann,1076,29,1060,0.3247309243535279,0.3247309243535279,0.34911012240045514,0.34911012240045514
depmap,1,ACO2,adae,1076,29,1060,0.3039903165939874,0.3039903165939874,0.32227653634027176,0.32227653634027176
depmap,1,ACTB,baseline,1076,29,1060,-0.2429602946632945,-0.2429602946632945,,
depmap,1,ACTB,marginal,1076,29,1060,0.29235771686461814,0.29235771686461814,0.3279207734128025,0.3279207734128025
depmap,1,ACTB,residualized,1076,29,1060,0.28530095733795735,0.23335151011066194,0.2959260775414758,0.2959260775414758
depmap,1,ACTB,irm,1076,29,1060,0.12378374561149828,0.12378374561149828,0.16348283173520886,0.16348283173520886
depmap,1,ACTB,dann,1076,29,1060,0.24260998695809613,0.24260998695809613,0.29913496805938644,0.29913496805938644
depmap,1,ACTB,adae,1076,29,1060,0.21700660695417484,0.21700660695417484,0.22781977800763994,0.22781977800763994
depmap,1,ACTR1A,baseline,1076,29,1060,-0.2928280492188626,-0.2928280492188626,,
depmap,1,ACTR1A,marginal,1076,29,1060,0.29550204381145717,0.29550204381145717,0.3415687078009247,0.3415687078009247
depmap,1,ACTR1A,residualized,1076,29,1060,0.340090078406813,0.27890216078200575,0.3696650635549033,0.36966506355490325
depmap,1,ACTR1A,irm,1076,29,1060,0.1331427333797307,0.1331427333797307,0.22684863543196612,0.22684863543196612
depmap,1,ACTR1A,dann,1076,29,1060,0.2883680608921533,0.2883680608921533,0.32408447270412694,0.32408447270412694
depmap,1,ACTR1A,adae,1076,29,1060,0.23444118448513157,0.23444118448513157,0.2642887805273564,0.2642887805273564
depmap,1,ADSL,baseline,1076,29,1060,-0.27610298934161576,-0.27610298934161576,,
depmap,1,ADSL,marginal,1076,29,1060,0.34547328547046763,0.34547328547046763,0.37152376532081877,0.37152376532081877
depmap,1,ADSL,residualized,1076,29,1060,0.3548886918987039,0.3059326663706716,0.35837115897358834,0.3583711589735883
depmap,1,ADSL,irm,1076,29,1060,0.2465428372882384,0.2465428372882384,0.2634226435484347,0.2634226435484347
depmap,1,ADSL,dann,1076,29,1060,0.32635609891165757,0.32635609891165757,0.356855457849995,0.356855457849995
depmap,1,ADSL,adae,1076,29,1060,0.2729208621418398,0.2729208621418398,0.290158848081911,0.290158848081911
depmap,1,AK6,baseline,1075,29,1060,-0.31625486873593284,-0.31625486873593284,,
depmap,1,AK6,marginal,1075,29,1060,0.2128199744484621,0.2128199744484621,0.2266022514686306,0.2266022514686306
