dataset,method,n_items,frac_cells_used,wt_tissue_mean,wt_tissue_sem,wt_tissue_sd,wt_tissue_recon_mean,wt_tissue_recon_sem,wt_tissue_recon_sd,wt_foldsym_mean,wt_foldsym_sem,wt_foldsym_sd,wt_foldsym_stripped_mean,wt_foldsym_stripped_sem,wt_foldsym_stripped_sd
ctrpv2,adae,440,0.937920573182673,0.17967654529136945,0.005865832142951626,0.12304273306817093,0.17967654529136945,0.005865832142951626,0.12304273306817093,0.22954287584264987,0.0051751808883489896,0.1085555101316297,0.22954287584264987,0.0051751808883489896,0.1085555101316297
ctrpv2,baseline,440,0.937920573182673,-0.37754668825005877,0.003608694897836739,0.07569662278395306,-0.37754668825005877,0.003608694897836739,0.07569662278395306,,,,,,
ctrpv2,dann,440,0.937920573182673,0.17273878088086325,0.005546456659995379,0.11634345641990837,0.17273878088086325,0.005546456659995379,0.11634345641990837,0.20609850630751517,0.005677880216064476,0.11910022018917348,0.20609850630751517,0.005677880216064476,0.11910022018917348
ctrpv2,irm,440,0.937920573182673,0.13209609299924202,0.004752772128754641,0.0996949892394871,0.13209609299924202,0.004752772128754641,0.0996949892394871,0.17004397470992685,0.005159045141393801,0.10821704384806098,0.17004397470992685,0.005159045141393801,0.10821704384806098
ctrpv2,marginal,440,0.937920573182673,0.17481555748942534,0.005619219866671637,0.11786975031957424,0.17481555748942534,0.005619219866671637,0.11786975031957424,0.20891818112388635,0.005684111213322784,0.11923092269032225,0.20891818112388635,0.005684111213322784,0.11923092269032225
ctrpv2,residualized,440,0.937920573182673,0.21671372335510067,0.0052964605583319495,0.11109949395125539,0.061280135722768955,0.009283825745491935,0.1947391717348359,0.218938398071085,0.005471311699080114,0.11476720242184177,0.218938398071085,0.005471311699080114,0.11476720242184177
depmap,adae,200,0.9867810483263301,0.16440769577108105,0.007892450548806048,0.1116161060648049,0.16440769577108105,0.007892450548806048,0.1116161060648049,0.18867857904253613,0.00746996695206972,0.1056412857409581,0.18867857904253613,0.00746996695206972,0.1056412857409581
depmap,baseline,200,0.9867810483263301,-0.27991813420145045,0.0024366952020790106,0.03446007402149587,-0.27991813420145045,0.0024366952020790106,0.03446007402149587,,,,,,
depmap,dann,200,0.9867810483263301,0.20071685798725164,0.009109484496595988,0.12882756521313493,0.20071685798725164,0.009109484496595988,0.12882756521313493,0.22049498860932548,0.009217584717028857,0.1303563331914518,0.22049498860932548,0.009217584717028857,0.1303563331914518
depmap,irm,200,0.9867810483263301,0.1257331185646828,0.0061703042797036445,0.08726127996325646,0.1257331185646828,0.0061703042797036445,0.08726127996325646,0.15388362616774598,0.006708920396253709,0.09487846213263475,0.15388362616774598,0.006708920396253709,0.09487846213263475
depmap,marginal,200,0.9867810483263301,0.20409906836840372,0.009306501838788544,0.13161381118664905,0.20409906836840372,0.009306501838788544,0.13161381118664905,0.22379385351242262,0.009329279577243216,0.1319359370530769,0.22379385351242262,0.009329279577243216,0.1319359370530769
depmap,residualized,200,0.9867810483263301,0.22753326997310958,0.008551546991195761,0.12093713734219881,0.15735579265118868,0.010118407650808446,0.14309589329392994,0.22992542830378787,0.008555918519852193,0.12099896009334109,0.22992542830378787,0.008555918519852193,0.12099896009334109
